# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, fibHeap_timing_secs
Mon Jan  9 16:22:44 EST 2017, 6108, 0.800, 3, 0.740, 341, 14, 13, 47, 76, 19.860, 19.200
Mon Jan  9 16:23:12 EST 2017, 8583, 0.050, 1, 0.490, 416, 81, 18, 9, 53, 27.017, 27.520
Mon Jan  9 16:24:17 EST 2017, 3633, 0.550, 5, 0.990, 566, 36, 8, 34, 98, 63.823, 60.380
Mon Jan  9 16:24:19 EST 2017, 4871, 0.170, 4, 0.110, 379, 47, 1, 40, 20, 1.780, 1.893
Mon Jan  9 16:25:56 EST 2017, 9821, 0.670, 9, 0.610, 529, 92, 11, 15, 65, 95.273, 80.670
Mon Jan  9 16:26:20 EST 2017, 7346, 0.420, 6, 0.360, 454, 25, 15, 28, 42, 24.227, 23.400
Mon Jan  9 16:26:33 EST 2017, 2396, 0.920, 2, 0.860, 304, 70, 6, 3, 87, 12.643, 12.067
Mon Jan  9 16:26:39 EST 2017, 1777, 0.110, 6, 0.550, 360, 76, 5, 25, 14, 6.350, 6.100
Mon Jan  9 16:26:46 EST 2017, 6727, 0.610, 1, 0.050, 510, 31, 14, 0, 59, 6.613, 5.983
Mon Jan  9 16:29:22 EST 2017, 9202, 0.360, 3, 0.800, 585, 98, 19, 37, 37, 146.693, 136.727
Mon Jan  9 16:30:03 EST 2017, 4252, 0.860, 8, 0.300, 435, 53, 9, 12, 82, 40.203, 36.190
Mon Jan  9 16:30:05 EST 2017, 3014, 0.480, 2, 0.680, 547, 42, 2, 6, 25, 1.667, 1.747
Mon Jan  9 16:32:06 EST 2017, 7964, 0.980, 7, 0.180, 397, 87, 12, 31, 70, 116.683, 110.360
Mon Jan  9 16:32:19 EST 2017, 5489, 0.230, 9, 0.930, 322, 19, 17, 19, 48, 12.930, 12.093
Mon Jan  9 16:33:56 EST 2017, 539, 0.730, 5, 0.430, 472, 64, 7, 44, 93, 95.237, 95.563
Mon Jan  9 16:34:15 EST 2017, 694, 0.440, 5, 0.760, 412, 52, 17, 1, 44, 17.907, 12.757
Mon Jan  9 16:35:20 EST 2017, 5644, 0.940, 1, 0.260, 562, 97, 8, 26, 89, 63.157, 62.820
Mon Jan  9 16:35:23 EST 2017, 8119, 0.190, 3, 0.510, 487, 29, 3, 13, 21, 1.833, 1.897
Mon Jan  9 16:37:04 EST 2017, 3169, 0.690, 8, 0.010, 337, 74, 13, 38, 66, 98.970, 95.723
Mon Jan  9 16:37:45 EST 2017, 4407, 0.060, 2, 0.880, 524, 63, 15, 32, 32, 41.063, 38.987
Mon Jan  9 16:37:51 EST 2017, 9357, 0.560, 6, 0.380, 374, 18, 6, 7, 77, 5.387, 4.970
Mon Jan  9 16:37:54 EST 2017, 6882, 0.310, 9, 0.630, 449, 85, 1, 44, 10, 2.407, 2.790
Mon Jan  9 16:38:28 EST 2017, 1932, 0.810, 4, 0.130, 599, 40, 10, 19, 55, 33.163, 31.630
Mon Jan  9 16:39:43 EST 2017, 2550, 0.130, 8, 0.440, 543, 35, 19, 47, 38, 74.080, 69.580
Mon Jan  9 16:40:54 EST 2017, 7500, 0.630, 4, 0.940, 393, 80, 9, 22, 83, 70.130, 61.070
